"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Genus"
"ASV_102",193.40524938424,0.567249380581071,0.74412162809977,0.762307342187635,0.445876592840095,0.659457486385892,NA
"ASV_176",24.3506628633652,0.718446650590173,0.968084076711606,0.742132494349661,0.458007063863258,0.659457486385892,"Intestinibacter"
"ASV_350",17.3590792482621,0.907539298253232,1.22964248589317,0.738051351238103,0.460483244803942,0.659457486385892,"Negativibacillus"
"ASV_463",3.29800705288869,1.44265505260164,1.86920335756796,0.771802087108754,0.440231655412891,0.659457486385892,"UCG-003"
"ASV_532",6.79673836123308,-2.04728256842125,2.57538357704737,-0.794942775385878,0.426646790352812,0.659457486385892,"Sellimonas"
"ASV_151",50.341216215773,1.33578687647728,1.87754557597534,0.711453768989532,0.476803089542834,0.674501931548399,"[Eubacterium] eligens group"
"ASV_38",199.553041277877,-0.611333704559085,0.923407401826978,-0.662041156860504,0.507944845448858,0.709898820145391,"Tyzzerella"
"ASV_36",162.45402536828,-0.734716482028286,1.14553898458347,-0.641371871159352,0.52128110399789,0.71653708324259,"Phascolarctobacterium"
"ASV_105",150.374501939472,0.615019133346889,0.978953617412522,0.628241340966132,0.52984585202747,0.71653708324259,"UCG-002"
"ASV_680",3.89207465012367,-0.92406007236026,1.47581377550488,-0.62613595813885,0.531225768610886,0.71653708324259,"Catenibacillus"
"ASV_39",171.146972172288,-0.739835728780014,1.26994760401176,-0.582571852919662,0.560181558164381,0.716832851268498,"CAG-56"
"ASV_61",96.3414295896531,0.97677720294687,1.63131286648832,0.598767546687443,0.549327906587427,0.716832851268498,"Holdemanella"
"ASV_88",253.216143938117,0.533871562173628,0.883488105277687,0.604277023068498,0.545659479812036,0.716832851268498,"Christensenellaceae R-7 group"
"ASV_265",14.9188669827582,1.35981144593649,2.30471947230294,0.590011696554866,0.555182807854828,0.716832851268498,"Slackia"
"ASV_321",12.0213669012993,-1.42158899798191,2.45370250619568,-0.579364855516245,0.562343012633046,0.716832851268498,"Enterococcus"
"ASV_50",335.388686036423,0.502194613573579,0.88358311161291,0.568361489681331,0.56978953408755,0.718430282110389,"Lachnospiraceae NC2004 group"
"ASV_53",271.636100799858,-0.552998085599433,1.00368746469321,-0.550966416391841,0.581656696685515,0.725507277586233,"NK4A214 group"
"ASV_562",4.41031460546813,1.16145681965739,2.21960176156378,0.523272615732252,0.600784554727123,0.733589561561539,NA
"ASV_580",6.04878824382842,0.702168861197817,1.32242553727358,0.530970433802623,0.595439267745412,0.733589561561539,"Shuttleworthia"
"ASV_555",4.34719498429256,0.86978640562404,2.02790311479831,0.428909250780724,0.667989267784545,0.807153698572991,"Marvinbryantia"
"ASV_29",258.115368065557,0.806463675703146,2.0501076826102,0.393376251669061,0.694041607200078,0.809615352751994,"Catenibacterium"
