"Phase","Taxon","Degree","Betweenness","Closeness","Eigenvector","Hub_Score"
"Late","ASV_774",194,953.562477574992,0.00050125313283208,0.993362251326746,0.993362251326746
"Late","ASV_901",194,950.322681810091,0.000501002004008016,0.991857839654166,0.991857839654166
"Late","ASV_564",193,939.441771459163,0.000501002004008016,0.98861661819164,0.98861661819164
"Late","ASV_632",193,935.417714623687,0.000500250125062531,0.988594994330818,0.988594994330818
"Late","ASV_266",192,919.770292121943,0.0005005005005005,0.985218190690596,0.985218190690596
"Late","ASV_930",190,893.662683452388,0.000499750124937531,0.982211031573117,0.982211031573117
"Late","ASV_649",191,891.112535678887,0.000500250125062531,0.984429650527815,0.984429650527815
"Late","ASV_273",188,832.626637039948,0.000499251123315027,0.975756560725059,0.975756560725059
"Late","ASV_312",192,828.49364950898,0.000482625482625483,0.979397582930387,0.979397582930387
"Late","ASV_743",185,807.473380460038,0.000483792936623125,0.956755022517958,0.956755022517959
"Late","ASV_878",190,790.353956563202,0.000481463649494463,0.973360138224622,0.973360138224622
"Late","ASV_831",189,771.037285341972,0.000481231953801732,0.971598623985787,0.971598623985787
"Late","ASV_1067",173,737.775456470839,0.000472366556447804,0.899614130653217,0.899614130653217
"Late","ASV_1142",193,595.488095984133,0.000479616306954436,0.981644869178079,0.981644869178079
"Late","ASV_970",192,589.309314349309,0.000479386385426654,0.97784186616194,0.977841866161941
"Late","ASV_887",191,586.293677674085,0.000478927203065134,0.975114663843721,0.97511466384372
"Late","ASV_1114",191,586.293677674085,0.000478927203065134,0.975114663843721,0.97511466384372
"Late","ASV_989",188,585.346493261945,0.000478240076518412,0.96324336669597,0.96324336669597
"Late","ASV_531",192,583.69964015003,0.000479846449136276,0.9802286113662,0.9802286113662
"Late","ASV_1178",191,569.716536543828,0.000478927203065134,0.975992140327155,0.975992140327154
"Late","ASV_607",189,563.064706225654,0.000478468899521531,0.970010116980528,0.970010116980528
"Late","ASV_726",187,559.348149615873,0.000477783086478739,0.962306010483979,0.962306010483979
"Late","ASV_951",187,559.348149615873,0.000477783086478739,0.962306010483979,0.962306010483979
"Late","ASV_1166",188,552.568577007683,0.000478011472275335,0.966440940689005,0.966440940689005
"Late","ASV_1231",185,548.876667346212,0.000477099236641221,0.953279331313201,0.953279331313201
"Late","ASV_1270",190,539.083551626454,0.000479386385426654,0.976911315942471,0.976911315942471
"Late","ASV_1089",177,504.178581578318,0.000471253534401508,0.925725616021253,0.925725616021254
"Late","ASV_1024",188,502.619764306792,0.000478240076518412,0.971231359784893,0.971231359784893
